prodcut_name,price,date,url,total_ratings,rating_out_of_5,5_stars_percent,4_stars_percent,3_stars_percent,2_stars_percent,1_stars_percent
ACTIVNEW MENS SPORT SHOES,299.0,2022-12-02,https://www.amazon.eg/-/en/ACTIVNEW-MENS-SPORT-SHOES-WHITE/dp/B09NP25B97?ref_=Oct_d_otopr_d_21845434031&pd_rd_w=KRjIb&content-id=amzn1.sym.66034381-6399-4395-a965-d55aa520b1b2&pf_rd_p=66034381-6399-4395-a965-d55aa520b1b2&pf_rd_r=1WCZWW3PRY6N5M2P7HZQ&pd_rd_wg=9VFsd&pd_rd_r=4a26ac58-e599-44bf-9567-2aa3a3039cf9&pd_rd_i=B09NP25B97&th=1,85,4.0,50.0,22.0,16.0,4.0,8.0
Testa Toro Mens Daily Life Microfiber Casual Shoes,185.0,2022-12-02,https://www.amazon.eg/-/en/Testa-Toro-Daily-Microfiber-Casual/dp/B09V1M9DDM/ref=sr_1_2?crid=1ZTMNJJXEH184&keywords=testa+toro+men%27s+daily+life+microfiber&qid=1670009597&qu=eyJxc2MiOiIwLjgwIiwicXNhIjoiMC4wMCIsInFzcCI6IjAuMDAifQ%3D%3D&sprefix=testa+toro+men%27s+daily+life+microfib%2Caps%2C115&sr=8-2,235,3.8,62.0,4.0,7.0,8.0,18.0
adidas Mens Run Response Super 20 MN Competition Running Sneaker Shoes Color,229.0,2022-12-02,https://www.amazon.eg/-/en/adidas-Response-Competition-Running-Sneaker/dp/B09G4JJJ9V/ref=sr_1_37?keywords=shoes+mens&qid=1669652764&qu=eyJxc2MiOiIxMS4wNiIsInFzYSI6IjEwLjI0IiwicXNwIjoiOC4wOSJ9&sprefix=shoes%2Caps%2C131&sr=8-37,92,4.1,62.0,15.0,7.0,4.0,13.0
Squadra Mesh Leather Detail Side,69.0,2022-12-02,https://www.amazon.eg/-/en/Squadra-Leather-Detail-elastic-Panel/dp/B08Y8YLKC2/ref=sr_1_30?keywords=shoes+mens&qid=1669652764&qu=eyJxc2MiOiIxMS4wNiIsInFzYSI6IjEwLjI0IiwicXNwIjoiOC4wOSJ9&sprefix=shoes%2Caps%2C131&sr=8-30,156,2.9,26.0,11.0,19.0,10.0,33.0
adidas Mens Runfalcon 20 Sneaker Athletic MNS Running Shoe Color Semi Night FlashCore BlackScarlet Size 465 EU,629.0,2022-12-02,https://www.amazon.eg/-/en/adidas-Runfalcon-Sneaker-Athletic-Running/dp/B0919R4HHW/ref=sr_1_7?keywords=shoes+mens&qid=1670004202&qu=eyJxc2MiOiIxMS4wNiIsInFzYSI6IjEwLjI0IiwicXNwIjoiOC4wOSJ9&sprefix=shoes%2Caps%2C602&sr=8-7,5767,4.4,66.0,21.0,8.0,2.0,4.0
Squadra Mesh Leather Detail Side,79.0,2022-12-02, https://www.amazon.eg/-/en/Squadra-Leather-Detail-elastic-Panel/dp/B08WJNMWX6/ref=sr_1_19?keywords=shoes+mens&qid=1670004202&qu=eyJxc2MiOiIxMS4wNiIsInFzYSI6IjEwLjI0IiwicXNwIjoiOC4wOSJ9&sprefix=shoes%2Caps%2C602&sr=8-19,156,2.9,26.0,11.0,19.0,10.0,33.0
Adidas DURAMO 10,879.0,2022-12-02,https://www.amazon.eg/-/en/Adidas-DURAMO-GW4082-RUNNING-SHOES/dp/B0B4WCP4H1/ref=sr_1_46?keywords=shoes+mens&qid=1670004202&qu=eyJxc2MiOiIxMS4wNiIsInFzYSI6IjEwLjI0IiwicXNwIjoiOC4wOSJ9&sprefix=shoes%2Caps%2C602&sr=8-46,48,4.0,55.0,19.0,11.0,0.0,0.0
Salerno Mens TwoTone Textile LaceUp Fluidstreet Color,119.0,2022-12-02,https://www.amazon.eg/-/en/Salerno-Two-Tone-Textile-Lace-Up-Fluidstreet/dp/B08WJMLWZY/ref=sr_1_54?keywords=shoes+mens&qid=1670004202&qu=eyJxc2MiOiIxMS4wNiIsInFzYSI6IjEwLjI0IiwicXNwIjoiOC4wOSJ9&sprefix=shoes%2Caps%2C602&sr=8-54,70,4.0,42.0,33.0,12.0,5.0,8.0
Converse Navy Blue Fashion Sneakers For Men,449.0,2022-12-02,https://www.amazon.eg/-/en/Converse-Fashion-Sneakers-Men-Black/dp/B002OXKQIM/ref=sr_1_51?keywords=shoes+mens&qid=1670004202&qu=eyJxc2MiOiIxMS4wNiIsInFzYSI6IjEwLjI0IiwicXNwIjoiOC4wOSJ9&sprefix=shoes%2Caps%2C602&sr=8-51,8609,4.5,73.0,14.0,5.0,2.0,6.0
ASICS MENS SPORTSTYLE GEL1090,659.0,2022-12-02,https://www.amazon.eg/-/en/ASICS-MENS-SPORTSTYLE-GEL-1090-WHITE/dp/B07SKHM34W/ref=sr_1_106?keywords=shoes+mens&qid=1670004895&qu=eyJxc2MiOiIxMS4wNiIsInFzYSI6IjEwLjI0IiwicXNwIjoiOC4wOSJ9&sprefix=shoes%2Caps%2C602&sr=8-106,79,4.3,66.0,18.0,6.0,1.0,7.0
SKECHERS DLUX WALKER SPORTS Collection For MEN Color,609.0,2022-12-02,https://www.amazon.eg/-/en/SKECHERS-DLUX-WALKER-SPORTS-Collection/dp/B07YG1WXD4/ref=sr_1_103?keywords=men+shoes&qid=1670008321&qu=eyJxc2MiOiIxMS41NCIsInFzYSI6IjEwLjU1IiwicXNwIjoiOC4xNSJ9&s=fashion&sr=1-103,79,4.2,62.0,17.0,8.0,3.0,10.0
Romba Sport Mens Shoes,189.0,2022-12-02,https://www.amazon.eg/-/en/Romba-Sport-Mens-Shoes-Black/dp/B09SY7XMD1/ref=sr_1_101?keywords=men+shoes&qid=1670008321&qu=eyJxc2MiOiIxMS41NCIsInFzYSI6IjEwLjU1IiwicXNwIjoiOC4xNSJ9&s=fashion&sr=1-101,82,2.9,26.0,16.0,16.0,7.0,34.0
Adidas TRAINER V,839.0,2022-12-02,https://www.amazon.eg/-/en/Adidas-TRAINER-GX0728-RUNNING-black/dp/B096NCNHHX/ref=sr_1_123?keywords=men+shoes&qid=1670008321&qu=eyJxc2MiOiIxMS41NCIsInFzYSI6IjEwLjU1IiwicXNwIjoiOC4xNSJ9&s=fashion&sr=1-123,57,3.9,53.0,18.0,9.0,3.0,17.0
adidas LITE RACER ADAPT 40 Mens,479.0,2022-12-02,https://www.amazon.eg/-/en/adidas-RACER-GREFIV-GRESIX-GREFOU/dp/B09N3M5DSN/ref=sr_1_139?keywords=men+shoes&qid=1670008321&qu=eyJxc2MiOiIxMS41NCIsInFzYSI6IjEwLjU1IiwicXNwIjoiOC4xNSJ9&s=fashion&sr=1-139,52,4.3,55.0,25.0,14.0,3.0,3.0
Vans Old Skool Laced Up For Men,199.0,2022-12-02,https://www.amazon.eg/-/en/Vans-Old-Skool-Laced-Black/dp/B01MXF6F5H/ref=sr_1_142?keywords=men+shoes&qid=1670008321&qu=eyJxc2MiOiIxMS41NCIsInFzYSI6IjEwLjU1IiwicXNwIjoiOC4xNSJ9&s=fashion&sr=1-142,496,4.7,84.0,8.0,3.0,1.0,5.0
Skechers Mens Go Walk 6 Motley Color,239.0,2022-12-02,https://www.amazon.eg/-/en/Skechers-Mens-Walk-Motley-Color/dp/B08S7R1KDQ/ref=sr_1_148?keywords=men+shoes&qid=1670008321&qu=eyJxc2MiOiIxMS41NCIsInFzYSI6IjEwLjU1IiwicXNwIjoiOC4xNSJ9&s=fashion&sr=1-148,589,4.5,70.0,19.0,7.0,2.0,3.0
Skechers Mens Uno Stand on Air Sneakers Shoes Color,979.0,2022-12-02, https://www.amazon.eg/-/en/Skechers-Stand-Sneakers-Shoes-Color/dp/B07W72RM1Y/ref=sr_1_150?keywords=men%2Bshoes&qid=1670008809&qu=eyJxc2MiOiIxMS41NCIsInFzYSI6IjEwLjU1IiwicXNwIjoiOC4xNSJ9&s=fashion&sr=1-150&th=1,1468,4.6,77.0,14.0,4.0,2.0,3.0
SPORT Fashion Sneakers For Men,199.0,2022-12-02,https://www.amazon.eg/-/en/SPORT-Fashion-Sneakers-Men-Black/dp/B091K6NSGK/ref=sr_1_163?keywords=men+shoes&qid=1670009015&qu=eyJxc2MiOiIxMS41NCIsInFzYSI6IjEwLjU1IiwicXNwIjoiOC4xNSJ9&s=fashion&sr=1-163,446,2.9,29.0,13.0,15.0,5.0,37.0
Salerno Mesh Contrast Lining,139.0,2022-12-02,https://www.amazon.eg/-/en/Salerno-Contrast-Lace-Up-Fashion-Sneakers/dp/B08WJPRWQM/ref=sr_1_177?keywords=men+shoes&qid=1670009015&qu=eyJxc2MiOiIxMS41NCIsInFzYSI6IjEwLjU1IiwicXNwIjoiOC4xNSJ9&s=fashion&sr=1-177,105,3.6,41.0,17.0,17.0,9.0,15.0
ACTIVNEW MENS SPORT SHOES,0.0,2022-12-05,https://www.amazon.eg/-/en/ACTIVNEW-MENS-SPORT-SHOES-WHITE/dp/B09NP25B97?ref_=Oct_d_otopr_d_21845434031&pd_rd_w=KRjIb&content-id=amzn1.sym.66034381-6399-4395-a965-d55aa520b1b2&pf_rd_p=66034381-6399-4395-a965-d55aa520b1b2&pf_rd_r=1WCZWW3PRY6N5M2P7HZQ&pd_rd_wg=9VFsd&pd_rd_r=4a26ac58-e599-44bf-9567-2aa3a3039cf9&pd_rd_i=B09NP25B97&th=1,86,4.0,50.0,21.0,17.0,4.0,8.0
Testa Toro Mens Daily Life Microfiber Casual Shoes,185.0,2022-12-05,https://www.amazon.eg/-/en/Testa-Toro-Daily-Microfiber-Casual/dp/B09V1M9DDM/ref=sr_1_2?crid=1ZTMNJJXEH184&keywords=testa+toro+men%27s+daily+life+microfiber&qid=1670009597&qu=eyJxc2MiOiIwLjgwIiwicXNhIjoiMC4wMCIsInFzcCI6IjAuMDAifQ%3D%3D&sprefix=testa+toro+men%27s+daily+life+microfib%2Caps%2C115&sr=8-2,239,3.8,61.0,5.0,7.0,9.0,19.0
adidas Mens Run Response Super 20 MN Competition Running Sneaker Shoes Color,229.0,2022-12-05,https://www.amazon.eg/-/en/adidas-Response-Competition-Running-Sneaker/dp/B09G4JJJ9V/ref=sr_1_37?keywords=shoes+mens&qid=1669652764&qu=eyJxc2MiOiIxMS4wNiIsInFzYSI6IjEwLjI0IiwicXNwIjoiOC4wOSJ9&sprefix=shoes%2Caps%2C131&sr=8-37,94,4.1,61.0,14.0,7.0,5.0,12.0
Squadra Mesh Leather Detail Side,59.0,2022-12-05,https://www.amazon.eg/-/en/Squadra-Leather-Detail-elastic-Panel/dp/B08Y8YLKC2/ref=sr_1_30?keywords=shoes+mens&qid=1669652764&qu=eyJxc2MiOiIxMS4wNiIsInFzYSI6IjEwLjI0IiwicXNwIjoiOC4wOSJ9&sprefix=shoes%2Caps%2C131&sr=8-30,158,2.8,26.0,11.0,19.0,11.0,34.0
adidas Mens Runfalcon 20 Sneaker Athletic MNS Running Shoe Color Semi Night FlashCore BlackScarlet Size 465 EU,229.0,2022-12-05,https://www.amazon.eg/-/en/adidas-Runfalcon-Sneaker-Athletic-Running/dp/B0919R4HHW/ref=sr_1_7?keywords=shoes+mens&qid=1670004202&qu=eyJxc2MiOiIxMS4wNiIsInFzYSI6IjEwLjI0IiwicXNwIjoiOC4wOSJ9&sprefix=shoes%2Caps%2C602&sr=8-7,5807,4.4,66.0,21.0,8.0,2.0,4.0
Squadra Mesh Leather Detail Side,59.0,2022-12-05, https://www.amazon.eg/-/en/Squadra-Leather-Detail-elastic-Panel/dp/B08WJNMWX6/ref=sr_1_19?keywords=shoes+mens&qid=1670004202&qu=eyJxc2MiOiIxMS4wNiIsInFzYSI6IjEwLjI0IiwicXNwIjoiOC4wOSJ9&sprefix=shoes%2Caps%2C602&sr=8-19,158,2.8,26.0,11.0,19.0,11.0,34.0
Adidas DURAMO 10,837.55,2022-12-05,https://www.amazon.eg/-/en/Adidas-DURAMO-GW4082-RUNNING-SHOES/dp/B0B4WCP4H1/ref=sr_1_46?keywords=shoes+mens&qid=1670004202&qu=eyJxc2MiOiIxMS4wNiIsInFzYSI6IjEwLjI0IiwicXNwIjoiOC4wOSJ9&sprefix=shoes%2Caps%2C602&sr=8-46,48,4.0,55.0,19.0,11.0,0.0,0.0
Salerno Mens TwoTone Textile LaceUp Fluidstreet Color,119.0,2022-12-05,https://www.amazon.eg/-/en/Salerno-Two-Tone-Textile-Lace-Up-Fluidstreet/dp/B08WJMLWZY/ref=sr_1_54?keywords=shoes+mens&qid=1670004202&qu=eyJxc2MiOiIxMS4wNiIsInFzYSI6IjEwLjI0IiwicXNwIjoiOC4wOSJ9&sprefix=shoes%2Caps%2C602&sr=8-54,71,4.0,41.0,32.0,14.0,5.0,7.0
Converse Navy Blue Fashion Sneakers For Men,449.0,2022-12-05,https://www.amazon.eg/-/en/Converse-Fashion-Sneakers-Men-Black/dp/B002OXKQIM/ref=sr_1_51?keywords=shoes+mens&qid=1670004202&qu=eyJxc2MiOiIxMS4wNiIsInFzYSI6IjEwLjI0IiwicXNwIjoiOC4wOSJ9&sprefix=shoes%2Caps%2C602&sr=8-51,8618,4.5,73.0,14.0,5.0,2.0,6.0
ASICS MENS SPORTSTYLE GEL1090,659.0,2022-12-05,https://www.amazon.eg/-/en/ASICS-MENS-SPORTSTYLE-GEL-1090-WHITE/dp/B07SKHM34W/ref=sr_1_106?keywords=shoes+mens&qid=1670004895&qu=eyJxc2MiOiIxMS4wNiIsInFzYSI6IjEwLjI0IiwicXNwIjoiOC4wOSJ9&sprefix=shoes%2Caps%2C602&sr=8-106,79,4.3,66.0,18.0,6.0,1.0,7.0
SKECHERS DLUX WALKER SPORTS Collection For MEN Color,609.0,2022-12-05,https://www.amazon.eg/-/en/SKECHERS-DLUX-WALKER-SPORTS-Collection/dp/B07YG1WXD4/ref=sr_1_103?keywords=men+shoes&qid=1670008321&qu=eyJxc2MiOiIxMS41NCIsInFzYSI6IjEwLjU1IiwicXNwIjoiOC4xNSJ9&s=fashion&sr=1-103,80,4.2,63.0,17.0,8.0,3.0,9.0
Romba Sport Mens Shoes,189.0,2022-12-05,https://www.amazon.eg/-/en/Romba-Sport-Mens-Shoes-Black/dp/B09SY7XMD1/ref=sr_1_101?keywords=men+shoes&qid=1670008321&qu=eyJxc2MiOiIxMS41NCIsInFzYSI6IjEwLjU1IiwicXNwIjoiOC4xNSJ9&s=fashion&sr=1-101,81,2.9,26.0,15.0,17.0,8.0,34.0
Adidas TRAINER V,839.0,2022-12-05,https://www.amazon.eg/-/en/Adidas-TRAINER-GX0728-RUNNING-black/dp/B096NCNHHX/ref=sr_1_123?keywords=men+shoes&qid=1670008321&qu=eyJxc2MiOiIxMS41NCIsInFzYSI6IjEwLjU1IiwicXNwIjoiOC4xNSJ9&s=fashion&sr=1-123,59,3.9,53.0,19.0,8.0,3.0,17.0
adidas LITE RACER ADAPT 40 Mens,569.0,2022-12-05,https://www.amazon.eg/-/en/adidas-RACER-GREFIV-GRESIX-GREFOU/dp/B09N3M5DSN/ref=sr_1_139?keywords=men+shoes&qid=1670008321&qu=eyJxc2MiOiIxMS41NCIsInFzYSI6IjEwLjU1IiwicXNwIjoiOC4xNSJ9&s=fashion&sr=1-139,53,4.3,56.0,25.0,14.0,3.0,3.0
Vans Old Skool Laced Up For Men,199.0,2022-12-05,https://www.amazon.eg/-/en/Vans-Old-Skool-Laced-Black/dp/B01MXF6F5H/ref=sr_1_142?keywords=men+shoes&qid=1670008321&qu=eyJxc2MiOiIxMS41NCIsInFzYSI6IjEwLjU1IiwicXNwIjoiOC4xNSJ9&s=fashion&sr=1-142,497,4.6,84.0,8.0,3.0,1.0,5.0
Skechers Mens Go Walk 6 Motley Color,239.0,2022-12-05,https://www.amazon.eg/-/en/Skechers-Mens-Walk-Motley-Color/dp/B08S7R1KDQ/ref=sr_1_148?keywords=men+shoes&qid=1670008321&qu=eyJxc2MiOiIxMS41NCIsInFzYSI6IjEwLjU1IiwicXNwIjoiOC4xNSJ9&s=fashion&sr=1-148,592,4.5,70.0,19.0,7.0,2.0,3.0
Skechers Mens Uno Stand on Air Sneakers Shoes Color,979.0,2022-12-05, https://www.amazon.eg/-/en/Skechers-Stand-Sneakers-Shoes-Color/dp/B07W72RM1Y/ref=sr_1_150?keywords=men%2Bshoes&qid=1670008809&qu=eyJxc2MiOiIxMS41NCIsInFzYSI6IjEwLjU1IiwicXNwIjoiOC4xNSJ9&s=fashion&sr=1-150&th=1,1488,4.6,77.0,13.0,4.0,2.0,3.0
SPORT Fashion Sneakers For Men,199.0,2022-12-05,https://www.amazon.eg/-/en/SPORT-Fashion-Sneakers-Men-Black/dp/B091K6NSGK/ref=sr_1_163?keywords=men+shoes&qid=1670009015&qu=eyJxc2MiOiIxMS41NCIsInFzYSI6IjEwLjU1IiwicXNwIjoiOC4xNSJ9&s=fashion&sr=1-163,446,2.9,29.0,13.0,15.0,5.0,37.0
Salerno Mesh Contrast Lining,109.0,2022-12-05,https://www.amazon.eg/-/en/Salerno-Contrast-Lace-Up-Fashion-Sneakers/dp/B08WJPRWQM/ref=sr_1_177?keywords=men+shoes&qid=1670009015&qu=eyJxc2MiOiIxMS41NCIsInFzYSI6IjEwLjU1IiwicXNwIjoiOC4xNSJ9&s=fashion&sr=1-177,105,3.6,41.0,17.0,17.0,9.0,15.0
